firm,number_of_stores,markets,
Superfresh,4,"MD, NJ, PA",
Superior Market,4,NY,
Superior Supermarket,4,"CT, NC, NJ, NY",
Supervalu,4,"AL, CA, GA, IL, MN, MS, MT, ND, NJ, NM, OH, PA, WA, WI, WV",
Supervalue,4,OH,
Sure Winner Foods,4,"MA, ME, NH",
Sweetbay Supermarket,4,FL,
Tawa Supermarket,4,"CA, NV",
Tedeschi Food Shops,4,MA,
Terry's Supermarket,4,TX,
Terrys Supermarket,4,,
Thriftway,4,"CA, FL, GA, IA, KS, ME, MN, MO, NM, NY, OH, PA, TX, VA",
Times Super Market,4,HI,
Tops Friendly Markets,4,"NY, OH",
Tops Market,4,NY,
Town & Country,4,"AR, GA, KS, KY, MI, MO, MT, VA, WI",
Trade Fair,4,NY,
Trader Joe's,4,"CA, CT, MA, MI, MO, NV, NY, OH",
Tradewinds Marketplace,4,ME,
Tropical Supermarket,4,"FL, MD",
Turkey Hill Mini Market,4,PA,
Twin City Foods,4,"ID, MI, NJ, WA",
U Save Super Markets,4,FL,
Ukrops Super Market,4,"TX, VA",
Ultra Food's,4,IL,
Ultra Foods,4,IN,
United Supermarket,4,"IL, OK, TX",
Vallarta Supermarket,4,"CA, MI",
Vons,4,"CA, MD, MI, NV, NY, SC, TN",
Wal-Mart Supercenter,4,"AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY",
Waldbaums,4,NY,
Wawa Food Markets,4,"DE, MD, NJ, PA, VA",
Wayfield Foods,4,GA,
Wegmans,4,"MD, NJ, NY, PA, VA",
Weis Markets,4,"CA, CT, MD, NJ, PA, VA, WV",
Wesselmans Supermarket,4,IN,
Western Supermarket,4,"AL, IL, IN, NY",
Westfarm Foods,4,"CA, ID, OR, WA",
White Hen Pantry,4,"MA, NH",
White Market,4,VT,
Whites Fresh Foods,4,"TN, VA",
Whole Foods Market,4,"AZ, CA, CO, CT, FL, GA, IL, IN, KS, MA, MD, MI, MN, NC, NV, NY, OH, OK, OR, PA, TX, VA, WA, WY",
Winco,4,"CA, OR",
Winn Dixie,4,"AL, FL, GA, KY, LA, MS, NC, OK, SC, TN, TX, VA",

