firm,number_of_stores,markets,
City Market,4,"CA, CO, DC, FL, GA, IA, ID, KY, MD, MI, MN, MO, NC, NJ, NM, NY, OR, TN, TX, UT, VA, WA, WI, WY",
Costco,4,"AK, AL, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, MA, MD, MI, MN, MO, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OR, PA, SC, TN, TX, UT, VA, VT, WA, WI",
County Market,4,"AR, IA, IL, IN, LA, MN, MS, MT, PA, WI",
Crowley Foods,4,"NY, VA",
Ctown,4,NY,
Cub Foods,4,"GA, IA, IL, MN, OH, WI",
Culloden Independent Supermarket,4,WV,
Culloden Independent Supermarket Route 60,4,,
Cumberland Farms,4,"CT, FL, MA, NY, PA",
D & B Foods,4,"IA, MN",
D & D Super Mkt.,4,IN,
D & J Supermarket Corp,4,FL,
D & M Family Foods,4,KY,
D & M Supermarket,4,"CT, MI",
D & R Market,4,"IN, MA",
D' Agostinos Supermarket,4,NY,
Dabo Foods,4,OR,
Dahls Foods,4,IA,
Dakota Natural Foods Inc,4,MN,
Danny's Fine Foods,4,MI,
Dans Super Market,4,"ND, UT",
Dans Supreme Supermarket,4,NY,
Dash Markets,4,,
Dave's Supermarket,4,"IL, MO, NY, OH, PA, WI",
Davids Supermarket,4,TX,
Davisco Foods,4,"GA, MN, SD",
Dawn Foods,4,AR,
Daybreak Foods,4,"IA, MN, WA, WI",
Dean Foods,4,"IL, IN, KY, MA, MI, MN, OH, SD, VA, WI",
Delberts Supermarket,4,OK,
Demoulas Supermarket,4,"MA, NH",
Diamond Crystal Specialty Foods,4,IA,
Diamond Supermarket,4,"NY, TX",
Dicks Supermarket,4,"IA, WI",
Dillon Stores,4,"KS, MO",
Dominick's Finer Foods,4,"CA, IL",
Donelans Supermarket,4,MA,
Dot Foods,4,"CA, ID, IL, IN, MO, NY, OK",
Dover Super Market,4,"AR, NJ",
Down Home Foods,4,"MN, OH",
Down to Earth Natural Foods,4,"HI, MA, NY, OH, TX, UT",
Draegers Supermarket,4,CA,
Dubois Super Foods,4,WY,
E W James & Sons Supermarket,4,"KY, TN",
Eagle Supermarket Corp.,4,OH,
Earthlight Natural Foods,4,PA,
Eastern Foods,4,"CA, CO, FL, GA, MN, MO, NC, NJ, OH, TN, TX, WA",
Eats Natural Foods,4,VA,
Econo Foods,4,"IA, IL, MA, MN, ND, SD, WI",
El Ahorro,4,"FL, TX",
Everyday,4,,
Excel Supermarket,4,AL,
Extra Supermarket,4,"FL, NJ, NY",
F'real Foods,4,CA,
Fairplay Finer Foods,4,IL,
Fairway Finer Foods,4,,
Fairway Finer Foods Inc.,4,,
Fairway Food Market,4,NY,
Fairway Foods,4,"GA, IL, MI",
Fairway Foods Inc.,4,CA,
Fairway Wholesale,4,NY,
Family Fare,4,MI,
Family Foods,4,"AL, CA, CO, DC, FL, IA, IL, IN, KY, MA, MI, MN, NC, ND, NJ, NY, OH, SC, TX, UT",
Family Fresh Foods,4,WI,
Fareway Stores Inc,4,"IA, NE",
Farmers Foods,4,"NC, VA",
Farmland Foods,4,"AZ, IA, IL, MA, MN, MO, NE, OH, TX, WI",
Fas Check Supermarket,4,WV,
Fast Lane Foods,4,"GA, IN",
Fast Track Foods,4,"FL, GA, NC",
Fastee Foods,4,GA,
Fastop Foods Inc,4,"CA, TX",
Fastpak Foods,4,LA,
Fastrip Food Store,4,CA,
Festival Foods,4,"FL, MI, MN, MO, PA, WI",
Fiesta Foods,4,"CA, FL, IA, NE, SD, WA",
Fine Fair Supermarket,4,"NJ, NY, PA",
Flash Foods,4,"FL, GA",
Fleck Foods Inc,4,PA,
Floyds Supermarket,4,"AL, KS, KY",
Food 4 Less,4,"AL, CA, FL, IL, IN, MI, MO, NE, NJ, NV, OH, OR",
Food Bag,4,"CT, NY",
Food Basket,4,"NH, NY, TX",
Food City,4,"AZ, FL, KY, MA, ME, NC, NY, OH, TN, VA, VT",
Food Emporium,4,"CT, MI, NJ, NY, WA",
Food Express,4,"CA, NJ",
Food Fair,4,"IN, KS, KY, MO, VA",
Food Giant,4,"AL, AR, CA, FL, KY, MO",
Food Lion,4,"DE, FL, GA, KY, MA, MD, NC, PA, SC, TN, TX, VA, WV",
Food Roundup Supermarket,4,MT,
Food World,4,"AL, KY, NY, TX, UT",
Foodarama Supermarkets,4,"MD, NJ",
Foodland,4,"AL, HI, IL, KY, MA, NY, PA, TX, WV",
Foodmart,4,CT,
Foodmaster Supermarket,4,MA,
Foodmax,4,"AL, CA, GA, KY, MS, NC",
Foodsco,4,CA,
Foodtown,4,"AZ, CA, FL, IL, KY, LA, MI, NE, NJ, NM, NV, NY, OH, TN, TX, WI",
Foodway Supermarket,4,"TX, VA",
Francescos Fabulous Foods LLC,4,CT,
Franjo Supermarket,4,FL,
Frank's Mkt.,4,CA,
Fred Meyer,4,"AK, ID, KY, MN, OR, PA, WA",
Freedom Foods,4,"MA, OH, WI",
Freeland Foods,4,CA,
Fresh and Easy Neighborhood,4,,
Fresh And Natural Foods,4,MN,
Fresh Pride Supermarkets,4,"MD, VA",
Friendly Foods,4,"FL, GA, IL, IN, LA, MD, ME, NY, OK, TX, WA, WI",
Frontera Foods,4,"CO, IL",
Frys Food Stores,4,"AZ, VT",
Furrs Supermarket,4,"NM, TX",
G & G Supermarket,4,CA,
G & W Foods,4,"KS, MO",
G U Family Market,4,NY,
Gabriels Super Mkt,4,,
Garcias Supermarket,4,,
Geissler's Super Mkt.,4,"CT, MA",
Gene's Heartland Foods,4,KS,
Genuardis,4,"NJ, PA",
Gerritys,4,,
Geyers Fresh Foods,4,OH,
Giant Eagle,4,"KY, MD, OH, PA, WI, WV",
Giant Food,4,"DC, DE, MD, VA",
Giant Food Store,4,PA,
Giant Markets Inc,4,NY,
Glory Supermarket,4,MI,
Goodings Supermarkets,4,FL,
Grand Union Co,4,"CT, MA, NY, VT",
Grants Supermarket,4,"NH, VA, WV",
Grauls Market,4,MD,
Gristedes,4,NY,
Grocery Fox,4,RI,
Gruma Mission Foods,4,"CA, TX, WA",
Guadalajara Supermarket,4,"GA, IL, SC",
Guzman Grocery,4,NY,
H & L Supermarket,4,MO,
Haggen Food & Pharmacy,4,"OR, WA",
Han Ah Reum Supermarket,4,"NY, PA",
Handy Andy Supermarkets,4,TX,
Hannaford,4,"MA, ME, NH, NY, VA, VT",
Hanover Supermarket,4,"IA, IL",
Happy Foods,4,"FL, IL",
Harps Food Store,4,"AR, MO, OK",
Harris Teeter,4,"DC, DE, FL, GA, MD, NC, NJ, SC, TN, VA",
Harrys Fresh Foods,4,OR,
Harvest -Foods,4,"AR, NC",
Harvest Foods,4,"AR, CA, ID, IL, LA, MT, WA",
Harveys Super Market,4,GA,
Hays Food Town,4,AR,
Healthway Natural Foods,4,"CA, MD, VA, WV",
Heartland Foods,4,"IA, IN, MD, OH, OK, SD",
HEB,4,"AZ, NY, TX",
Heinens,4,OH,
Hen House,4,"KS, MO",
Hillside Foods,4,NY,
Holiday Foods,4,"AL, CA, IA, IN, KY, NC, TX",
Holiday Quality Foods,4,CA,
Holland Market,4,,
Hollys Town Super Market,4,IA,
Hollywood Super Mkt.,4,MI,
Homeland,4,"KS, OK",
Homerun Foods,4,GA,
Hometown Foods,4,"AL, AR, CA, FL, GA, IA, ID, IL, KS, KY, MD, MN, NC, NY, OR, WI",
Horizon Foods,4,"AZ, CA, CO, IA, MA, MD, NC, NY, OH, RI",
Hornbachers Foods,4,"MN, ND",
Hot Stuff Foods LLC,4,SD,
Houchens Market,4,KY,
Houghton Market,4,WA,
Hung Vuong Super Market,4,PA,
Hurricane Foods,4,IN,
Huy Fong Foods Inc.,4,CA,
Hy Klas Foods,4,MO,
Hy Vee,4,"IA, KS, MN, MO, NE, SD",
IBC Merita,4,"FL, GA",
Ingles Market,4,"NC, SC, TN",
Island Pacific Supermarket,4,"CA, NV",
Jack Rabbit Foods,4,GA,
Jade Foods,4,AR,
Jahnke Foods,4,MN,
Jalisco Market,4,"CA, GA, IL, LA, OH",
Jamboree Foods,4,"IA, KS, MN, OH, SD",
James E W & Sons Supermarket,4,TN,
Jardines Texas Foods,4,TX,
Jaritza Supermarket,4,NJ,
Jennie O Foods,4,"KS, MN",
Jensens Finest Foods,4,CA,
Jerome Foods,4,"MN, WA, WI",
Jet Foods,4,GA,
